S. No.,news_title,news_details,news_date,source_name,event,Political Bias,Social Bias,Comment
427,"किसान नेता बोले- सरकार ने की बांटने की कोशिश,देशव्यापी होगा आंदोलन",कृषि कानूनों का विरोध कर रहे किसानों ने सरकार से बातचीत के बाद कहा है कि सरकार उन्हें बांटने की कोशिश कर रही है. समयुक्त किसान मोर्चा ने प्रेस कॉन्फ्रेंस कर बताया कि किसी भी हाल में कृषि कानून रद्द होने चाहिए. अगर ऐसा नहीं होता है तो आंदोलन और तेज होगा और दिल्ली के बाकी बॉर्डर भी सील कर दिए जाएंगे.,"02 Dec 2020, 6:24 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,Quote
428,"सिमी ग्रेवाल से हरभजन-दिलजीत तक, किसानों के समर्थन में खड़े सितारे","दिल्ली-हरियाणा बॉर्डर पर चल रहे किसान आंदोलन के समर्थन में कई सितारे भी सामने आए हैं. फिल्म से लेकर खेल जगत की तमाम हस्तियां किसानों के साथ एकजुटता दिखा रही हैं. वेटरन एक्टर सिमी ग्रेवाल, सिंगर-एक्टर दिलजीत दोसांझ, क्रिकेटर हरभजन सिंह समेत कई सितारे पिछले कई दिनों से सोशल मीडिया पर किसानों के हक में ट्वीट कर रहे हैं.","02 Dec 2020, 2:58 PM IST",The Quint,Kisaan Andolan,Anti BJP,Pro Kisan,
429,"किसानों का विरोध प्रदर्शन आज भी जारी, यूपी बॉर्डर पर बैरिकेड्स गिराए","किसान आंदोलन बुधवार को सातवें दिन जारी है और आगे की रणनीति बनाने के लिए सिंघू बॉर्डर पर किसान संगठनों के नेताओं की बैठक चल रही है. केंद्र सरकार के साथ हुई वार्ता विफल होने के बाद किसान नेताओं की यह बैठक काफी अहम है, क्योंकि इसमें सरकार द्वारा दिए गए प्रस्ताव पर भी वे विचार कर रहे हैं.
सरकार ने किसान संगठनों को तीन दिसंबर यानी गुरुवार को फिर बातचीत के लिए बुलाया है. सिंघू बॉर्डर पर चल रही किसानों की इस बैठक में पंजाब के 30 किसान संगठनों के नेता मौजूद हैं. बैठक में जाने से पहले भारतीय किसान यूनियन (लाखोवाल) के जनरल सेक्रेटरी हरिंदर सिंह ने आईएएनएस से कहा कि किसानों की मांग है कि तीनों नये कृषि कानून को रद्द किया जाए, जबकि सरकार कमेटी बनाकर संशोधन की बात कर रही है. उन्होंने कहा,","02 Dec 2020, 12:05 PM IST",The Quint,Kisaan Andolan,Anti BJP,Pro Kisan,
432,"किसानों को शाहीन बाग की दादी का समर्थन, पुलिस ने हिरासत में लिया",शाहीन बाग में केंद्र सरकार के नागरिकता कानून के खिलाफ खुलकर आवाज उठाने वालीं बिल्किस दादी अब किसानों को समर्थन करने दिल्ली-हरियाणा बॉर्डर पहुंची हैं. लेकिन यहां पहुंचते ही पुलिस ने उन्हें हिरासत में ले लिया. हजारों किसान पिछले करीब एक हफ्ते से केंद्र के कृषि कानूनों के खिलाफ प्रदर्शन कर रहे हैं. जिसमें हिस्सा लेने के लिए बिल्किस दादी सिंघु बॉर्डर पहुंची थी.,"01 Dec 2020, 4:52 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
433,"किसानों के साथ केंद्र की बैठक जारी,कृषि मंत्री और पीयूष गोयल मौजूद","नए कृषि कानूनों के विरोध में सड़कों पर उतरे किसान संगठनों के प्रतिनिधि केंद्र सरकार के साथ बैठक करने के लिए दिल्ली के विज्ञान-भवन पहुंच चुके हैं. न्यूज एजेंसी IANS के मुताबिक, करीब 36 किसान नेता केंद्रीय मंत्रियों से बातचीत करेंगे, इनमें से 30 पंजाब से हैं. बैठक में फिलहाल केंद्रीय कृषि मंत्री नरेंद्र सिंह तोमर और केंद्रीय मंत्री पीयूष गोयल मौजूद हैं.","01 Dec 2020, 4:49 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
434,किसान आंदोलन: गाजीपुर बॉर्डर पहुंचे भीम आर्मी चीफ और पप्पू यादव,कृषि कानूनों के खिलाफ कई राज्यों के कई किसान और किसान संगठन लगातार विरोध कर रहे हैं. पंजाब-हरियाणा और यूपी के किसान विरोध कर लगातार आंदोलन छेड़े हुए हैं. भीम आर्मी चीफ चंद्रशेखर आजाद और पूर्व सांसद और जनअधिकार पार्टी के अध्यक्ष पप्पू यादव उतर आएइन किसानों का समर्थन करने के लिए पहुंचे हैं.,"01 Dec 2020, 3:41 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
435,किसान नेता आज बैठक में इन मुद्दों पर कर सकते हैं चर्चा,"नये कृषि कानूनों के विरोध में सड़कों पर उतरे किसान संगठनों के प्रतिनिधि आज जब विज्ञान-भवन में केंद्रीय मंत्रियों के साथ बैठक करेंगे तो वे इन कानूनों से जुड़े मसलों के साथ-साथ कुछ अन्य मुद्दों पर भी चर्चा करेंगे. किसानों के मसलों को लेकर केंद्र सरकार से बातचीत करने के लिए प्रदर्शन स्थल से दिल्ली के लिए रवाना होने से पहले उन्होंने बताया कि वे किसानों से जुड़ी सभी समस्याओं पर सरकार से बात करना चाहते हैं.
हालांकि उनका कहना है कि वार्ता के दौरान जो प्रमुख मसले रहेंगे उनमें तीनों नये कृषि कानूनों को वापस लेने के साथ-साथ एमएसपी की गारंटी की मांग शामिल हैं, इनके अलावा, पराली दहन अध्यादेश में किसानों पर जेल की सजा और भारी जुर्माना वापस लेना और बिजली सब्सिडी से जुड़े मसलों पर भी किसान बातचीत करना चाहते हैं.","01 Dec 2020, 2:33 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
436,मोदी सरकार पर बरसे राहुल-’अहंकार से निकलो और किसानों को हक दिलाओ’,"कांग्रेस नेता राहुल गांधी ने मंगलवार को एक बार फिर प्रधानमंत्री नरेंद्र मोदी का नाम लिए बिना उन पर कटाक्ष करते हुए कहा है कि उन्हें घमंड से दूर रहने और प्रदर्शनकारी किसानों को उनका अधिकार देने की जरूरत है.
केरल के वायनाड से सांसद राहुल गांधी ने कहा,","01 Dec 2020, 12:50 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,Indirect Speech
438,किसान प्रदर्शन: 2 लाख और किसानों के दिल्ली पहुंचने की उम्मीद,"केंद्र सरकार के कृषि बिलों का विरोध कर रहे पंजाब के 31 सबसे बड़े कृषि संगठनों के लोग गाड़ियों से दिल्ली की ओर निकले हैं. गाड़ियों का यह काफिला 40 किलोमीटर लंबा है. खाने-पीने की चीजों से भरे सैकड़ों ट्रैक्टर-ट्रेलर, बस, कार और मोटरसाइकिलों में ये किसान भारतीय किसान यूनियन (बीकेयू) एकता-उग्रहन के हैं और वे जल्द ही राष्ट्रीय राजधानी पहुंच जाएंगे.","28 Nov 2020, 11:58 AM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
440,"पानी, आंसू गैस और लाठियां झेलने के बाद आखिरकार दिल्ली पहुंचे किसान","कृषि विधेयकों पर हंगामा, बिना डेटा के सरकार- कुछ ऐसा रहा संसद सत्र","27 Nov 2020, 11:40 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,
441,किसानों को दिल्ली नहीं घुसने देने पर अड़ी सरकार क्यों झुकी?,क्या ये किसान आंदोलन राजनीतिक है? अगर हां तो कौन क्या राजनीति कर रहा है? और ये बात कहां तक जाएगी? भारत में हर वक्त किसानों के आंदोलन चलते रहते हैं लेकिन किसान आंदोलन में ऐसी क्या खास बात है जिसका बड़ा राजनीतिक परिणाम हो सकता है? ये बात NDA सरकार के रूख से ही साफ हुई है. वरना इसे आया गया आंदोलन माना जा सकता था.,"27 Nov 2020, 11:35 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,
442,"राहुल बोले- किसानों को कोई सरकार नहीं रोक सकती, खट्टर की अपील","पूरा देश पिछले करीब दो दिनों से किसानों का प्रदर्शन देख रहा है. किसान केंद्र सरकार के कृषि कानूनों के खिलाफ अपना विरोध जता रहे हैं. इसके लिए पंजाब, हरियाणा और अन्य राज्यों के किसानों ने दिल्ली मार्च किया, लेकिन उन्हें 26 नवंबर को राज्यों की सीमाओं पर ही रोक दिया गया. इसके बाद पुलिस और किसानों के बीच झड़प की कई तस्वीरें दिखीं. किसानों को दिल्ली में अब आंदोलन की इजाजत मिल चुकी है. किसान प्रदर्शन को लेकर नेताओं के रिएक्शन भी दिख रहे हैं.","27 Nov 2020, 6:49 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,Quote
443,"किसानों और जवानों का आमना-सामना, विरोध प्रदर्शन की 10 तस्वीरें",केंद्र सरकार के विवादित कृषि कानूनों के विरोध में किसानों ने दिल्ली मार्च किया. दिल्ली पहुंचने से पहले किसानों का सामना राज्यों की सीमाओं पर खड़ी पुलिस के साथ हुआ. जवान और किसान आमने-सामने थे. इस दौरान दिल्ली बॉर्डर पर तनाव भी नजर आया. कई जगह दोनों तरफ से पत्थरबाजी भी हुई. लेकिन आखिरकार अब किसानों को दिल्ली में प्रदर्शन की इजाजत मिल गई है और किसान दिल्ली पहुंच चुके हैं. देखिए बॉर्डर पर किसान प्रदर्शन की ये कुछ तस्वीरें.,"27 Nov 2020, 5:21 PM IST",The Quint,Kisaan Andolan,Anti BJP,Pro Kisan,
444,"दिल्ली में किसानों को प्रदर्शन की इजाजत,पंजाब के CM ने किया स्वागत","लगभग 24 घंटे से ज्यादा किसानों और पुलिस के बीच चली झड़प के बाद अब केंद्र सरकार ने दिल्ली में प्रदर्शन की इजाजत दे दी है. किसानों ने केंद्र के कृषि कानूनों के खिलाफ 26 नवंबर को दिल्ली कूच किया था, लेकिन उन्हें अलग-अलग बॉर्डर पर रोक लिया गया. इसके बाद केंद्र सरकार की जमकर आलोचना भी हुई. हजारों किसानों ने रात दिल्ली के बॉर्डर पर ही गुजारी.","27 Nov 2020, 3:26 PM IST",The Quint,Kisaan Andolan,Anti BJP,Pro Kisan,
446,भारत बंद से पहले कृषि मंत्री बोले-आधी रात को भी चर्चा के लिए तैयार,कृषि बिलों को लेकर देशभर के किसानों में नाराजगी है. विपक्षी नेताओं के अलावा हजारों किसान भी प्रदर्शन कर रहे हैं. इस मुद्दे को लेकर शुक्रवार 25 सितंबर को भारत बंद बुलाया गया है. लेकिन इस बंद से ठीक पहले केंद्रीय कृषि मंत्री नरेंद्र सिंह तोमर ने प्रेस कॉन्फ्रेंस कर कहा कि किसानों को गुमराह होने की जरूरत नहीं है. इस दौरान उन्होंने कांग्रेस पर कई आरोप लगाए और कहा कि कांग्रेस अपने ही घोषणा पत्र के खिलाफ बोल रही है.,"24 Sep 2020, 5:20 PM IST",The Quint,Kisaan Andolan,Pro BJP,Neutral,Indirect Speech
447,"यूपी:किसान बिल के खिलाफ लखनऊ से लेकर इटावा,आगरा कई शहरों में विरोध","किसान बिल को लेकर विरोध की चर्चा ज्यादातर पंजाब और हरियाणा को लेकर है. लेकिन उत्तर प्रदेश में एक अरसे के बाद विरोध की आवाज एक साथ, एक ही दिन दिखाई दी, वो भी इन्हीं कृषि बिलों पर. राज्य के कई शहरों में सोमवार को किसान बिलों के खिलाफ प्रदर्शन हुए. कहीं समाजवादी पार्टी के कार्यकर्ता सड़क पर उतरे तो कहीं आम आदमी पार्टी के और कहीं किसान संगठनों के लोगों ने धरना प्रदर्शन किया. प्रदर्शनकारियों पर शहर दर शहर लाठीचार्ज हुए और लोगों को हिरासत में लिया गया. आइए आपको बताते हैं यूपी के किन शहरों में प्रदर्शन हुए और वहां की तस्वीरें भी दिखाते हैं","22 Sep 2020, 10:58 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,
448,"धरने पर बैठे 8 MP को उपसभापति हरिवंश ने पिलाई चाय,प्रधान मंत्री ने की तारीफ",संसद के बाहर धरने पर बैठे 8 सांसदों को राज्यसभा के उपसभापति हरिवंश सिंह ने आज मुलाकात की और उन्हें चाय पिलाई. यही नहीं हरिवंश सिंह 24 घंटे का उपवास भी रखेंगे. उपसभापति की तारीफ करते हुए पीएम मोदी कई ट्वीट भी किए हैं.,"22 Sep 2020, 10:11 AM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
449,किसान बिल पर चिदंबरम बोले- मोदी सरकार किसानों से झूठ ना बोले,कांग्रेस नेता और पूर्व वित्त मंत्री पी चिदंबरम ने मोदी सरकार के कृषि बिल पास करने मोदी सरकार पर हमला बोला है. चिदंबरम ने एक का बाद एक कई ट्वीट कर सरकार से सवाल पूछा है. चिंदंबरम ने मोदी सरकार को घेरते हुए कहा है कि मोदी सरकार को किसानों के साथ झूठ नहीं बोलना चाहिए और ना ही उनसे झूठे वादे करने चाहिए.,"21 Sep 2020, 8:04 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,Indirect Speech
450,सांसदों के निलंबन पर बोले राहुल-लोकतांत्रिक देश की आवाज दबाना जारी,"राज्यसभा में 8 सांसदों को एक हफ्ते के लिए सस्पेंड कर दिया गया है, जिसको लेकर कांग्रेस नेता राहुल गांधी का रिएक्शन सामने आया है.","21 Sep 2020, 12:52 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,Indirect Speech
451,पंजाब: कृषि बिलों का विरोध कर रहे किसान ने की खुदकुशी की कोशिश,"बीजेपी के सबसे पुराने सहयोगी शिरोमणि अकाली दल के विरोध के बावजूद लोकसभा में दो विवादास्पद कृषि विधेयकों के पारित होने के एक दिन बाद, शुक्रवार को पंजाब में विधेयकों का विरोध कर रहे एक किसान ने खुदकुशी की कोशिश की.शिरोमणि अकाली दल ने विधेयकों को किसान विरोधी करार दिया था.","18 Sep 2020, 12:07 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,
452,किसानों के विरोध प्रदर्शन के बीच लोकसभा में कृषि बिल हुआ पास,केंद्र सरकार के तीन अध्यादेशों को संसद में पास कराने को लेकर देशभर में किसानों का प्रदर्शन जारी है. ये तीनों अध्यादेश कृषि से जुड़े हैं. लेकिन तमाम विरोध के बाद भी सरकार इन्हें पास कर रही है. अब सरकार ने लोकसभा में कृषि उत्पाद व्यापार और वाणिज्य (संवर्धन और सुविधा) अध्यादेश यानी किसान उत्पादन व्यापार और वाणिज्य (संवर्धन और सुविधा) अध्यादेश 2020 बिल पास कर दिया है.,"17 Sep 2020, 10:48 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,
453,"हरियाणा, पंजाब में किसानों का प्रदर्शन, इन तीन कानूनों का विरोध","हरियाणा और पंजाब में इन दिनों किसान धरना-प्रदर्शन कर रहे हैं. हरियाणा में कोरोना वायरस की वजह से बाहर निकलने पर लगे प्रतिबंध का उल्लंघन करते हुए किसानों ने 10 सितंबर को कुरुक्षेत्र में रैली निकाली. किसानों ने कुछ देर के लिए दिल्ली-चंडीगढ़ नेशनल हाईवे भी जाम किया था. इससे पहले पंजाब में भी धरना-प्रदर्शन हो चुका है. इन किसानों के निशाने पर तीन केंद्रीय कानून हैं, जिनका ऐलान अध्यादेश के जरिए किया गया है.","12 Sep 2020, 4:51 PM IST",The Quint,Kisaan Andolan,Pro BJP,Anti Kisan,
480,"धान खरीदी की मांग को लेकर GT रोड पर डटे किसान, लोगों को इन रास्तों से जानें की सलाह","धान की खरीदी शुरू नहीं होने के बाद शुक्रवार से किसानों का आंदोलन लगातार जारी है, किसानों ने शाहाबाद में जीटी रोड पर जाम लगा दिया है, जिसके बाद जाम से बचने के लिए प्रशासन के द्वारा दिल्ली से आने वाली गाड़ियों के लिए करनाल से इंद्री, लाडवा ,बाबैन से होते हुए नेशनल हाईवे चंडीगढ़ जाने का रास्ता और चंडीगढ़ से आते हुए सहा रोड बाबैन,लाडवा, इंद्री करनाल से दिल्ली आने की सलाह दी है. ","Sep 24,2022, 9:17 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
481,क्या मुश्तरका मालकान भूमि मामला बन जाएगा सरकार के गले की फांस? आखिर ये है क्या मामला,मुश्तरका मालकान व जुमला मालकान भूमि मामले को लेकर भारतीय किसान यूनियन चढूनी ग्रुप ने आज करनाल के प्रेमनगर स्थित सीएम आवास पर धरना प्रदर्शन किया. इस दौरान बड़ी संख्या में महिला किसान धरने में शामिल हुई.,"Aug 25,2022, 18:48 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
482,दिल्ली के इन बॉर्डरों पर स्थानीय पुलिस और सिविल ड्रेस में स्पेशल स्टाफ मौजूद,दिल्ली के जंतर मंतर पर आज हजारों की संख्या में किसान इकट्ठा होकर महापंचायत कर रहे हैं. इस महापंचायत में 10 मुद्दों को शामिल किया गया है. किसानों का कहना है की सरकार ने जो वादा किया था उसे अभी तक पूरा नहीं किया. इसीलिए हम लोग आज जंतर मंतर पर इकट्ठा होकर महापंचायत कर रहे हैं और इस महापंचायत में तय होगा कि अगर सरकार अपने वादों को पूरा नहीं करेगी तो हम आगे किस तरह का आंदोलन करेंगे.,"Aug 22,2022, 14:00 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
483,"दिल्ली में किसानों की महापंचायत, सिंघु बॉर्डर सहित कई इलाकों में हाई अलर्ट पर पुलिस",किसान संगठनों ने सोमवार को एक बार फिर अपनी मांगों को लेकर दिल्ली के जंतर मंतर पर महापंचायत का ऐलान किया है. इसको लेकर दिल्ली प्रशासन पूरी तरह अलर्ट है. कई जगहों पर पुलिस सुरक्षा बढ़ा दी गई है.,"Aug 22,2022, 9:43 AM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
487,क्या देश में फिर होने वाला है किसान आंदोलन? राकेश टिकैट ने खुद कही ये बड़ी बात,संयुक्त किसान मोर्चा (एसकेएम) किसानों से जुड़े मुद्दों को लेकर फिर से आंदोलन करने की तैयारी में है. आज गाजियाबाद में एसकेएम की जरूरी बैठक होगी. इससे पहले किसान नेता राकेश टिकैट ने कई बड़ी बातें कहीं.,"Jul 3,2022, 12:22 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
488,सिरसा में किसानों पर दर्ज केस खत्म करने के लिए डीसी ने सरकार को लिखा पत्र,11 जुलाई 2021 को किसान आंदोलन के दौरान चौधरी देवीलाल यूनिवर्सिटी आए हरियाणा के डिप्टी स्पीकर रणबीर सिंह गंगवा की कार पर पथराव कर दिया था. पुलिस ने इस मामले में 100 के खिलाफ मामला दर्ज किया था.,"Jul 1,2022, 23:40 PM IST",ZEE News,Kisaan Andolan,Neutral,Anti Kisan,
489,राकेश टिकेत ने जयराम सरकार पर लगाया किसान विरोधी होने का आरोप,किसान नेता राकेश टिकैत इन दिनों हिमाचल दौरे पर हैं. हिमाचल दौरे के पहले दिन उन्होंने ऊना में किसान नेताओं और कुछ किसानों से मुलाकात की थी. इस दौरान उन्होंने ऊना जिले के सनौली में गुरद्वारा साहिब में माथा टेका और अरदास की.,"Jun 22,2022, 16:21 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Anti Kisan,
490,भारतीय किसान यूनियन में पड़ी दरार,देश में जब पिछले साल किसान आंदोलन चला तो भारतीय किसान यूनियन के नेता राकेश टिकैत एक बड़ा चेहरा बनकर उभरे.जब आंदोलन खत्म हुआ तो देश के अलग-अलग हिस्सों में जाकर राकेश टिकैत ने बीजेपी सरकार को घेरने की कोशिश की.जमकर राजनीतिक बयानबाजी की.बंगाल से लेकर यूपी तक बीजेपी को हराने का आह्वान किया.लेकिन यूपी में टिकैट की बातों को किसी ने ध्यान नहीं दिया और यूपी में बीजेपी की फिर सरकार बनी.अब टिकैट की ये राजनीतिक बयानबाजी ही उनपर भारी पड़ी गई है.भारतीय किसान यूनियन दो हिस्सों टूट चुका है,"May 16,2022, 17:48 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Anti Kisan,
492,"राकेश टिकैत का बड़ा आरोप: किसानों की जमीन छीनने में जुटी सरकार, नहीं होने देंगे सफल",बुधवार के दिन धरना स्थल पर टिकैत भी पहुंचे थे. इसी दौरान उन्होंने केंद्र सरकार को आड़े हाथों लेते हुए कहा कि जल्द से जल्द किसानों की मांगें पूरी की जाएं. टिकैत यही नहीं रुके उन्होंने ये भी कहा कि हरियाणा के किसान मजबूती से लड़ना जानते हैं.,"Apr 21,2022, 9:23 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Anti Kisan,
494,"कृषि कानूनों पर खुलासा: 3 कानूनों से 86% किसान संगठन थे खुश, चुनाव के लिए बिल वापस",केंद्र सरकार के तीन कृषि कानूनों को जानने के लिए सुप्रीम कोर्ट की ओर से बनाई गई कमेटी ने एक बड़ा खुलासा किया है. रिपोर्ट में दावा किया गया है कि  85% किसान इन बिलों के पक्ष में थे. 70 में से 61 किसान संगठनों ने कृषि बिलों का समर्थन किया था.,"Mar 22,2022, 15:53 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
495,क्या फिर सरकार को घेरने की तैयारी कर रहे किसान? आज दिल्ली में जुटेंगे कई किसान नेता,संयुक्त किसान मोर्चा (एसकेएम) न्यूनतम समर्थन मूल्य (एमएसपी) पर पैनल के गठन समेत किसानों से किये गये वादों पर केंद्र की अबतक की प्रगति की समीक्षा करने के लिए सोमवार को दिल्ली में बैठक करेगा.,"Mar 14,2022, 0:11 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
496,"किसानों का आंदोलन जारी, सरकार ने 8 में से 6 मांगे मानी, 2 पर बिगड़ा मामला",रायपुर में किसानों का आंदोलन जारी है. सरकार ने किसानों की 8 में से 6 मांगे मान ली है. बावजूद इसके आंदोलन जारी है. अब मामला बची हुई दो मांगों पर रुका है.,"Mar 4,2022, 11:20 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
497,"लाल किला हिंसा में आरोपी पंजाबी एक्टर दीप सिद्धू की मौत, चन्नी ने ट्वीट कर जताया दुख","दीप सिद्धू मौत: किसान आंदोलन के दौरान दीप सिद्धू उस समय मुसीबत में घिर गए थे, जब उन्हें 26 जनवरी 2021 को हुई लाल किला हिंसा मामले में आरोपी बनाया गया था. उस समय वे लाल किले पर धार्मिक झंडा लहराते कैमरे में कैद हुए थे. इस केस‌ में दीप सिद्धू की गिरफ्तारी भी हुई थी.","Feb 15,2022, 22:53 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
498,दीप सिद्धू डेथ: कौन हैं दीप सिद्धू ; किसान आंदोलन से क्यों आए थे चर्चा में ?, दीप सिद्धू Death : दीप सिद्धू विवादित तीन कृषि कानूनों के विरोध को लेकर उस वक्त सुर्खियों में आए थे जब लाल किले में हुई हिंसा को लेकर उन्हें आरोपी बनाया गया था और उन्हें गिरफ्तार किया गया.,"Feb 15,2022, 22:49 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
499,"यूपी में भाजपा के वोट तो कोको ले गई, राकेश टिकैत ने बताया- कोको कौन",हरियाणा में बुढ़ापा पेंशन कटने पर किसान नेता ने कहा कि सरकार याद रखे अब यहां बुड्ढों का आंदोलन होगा. टिकैत ने कहा कि देश को मजदूर कॉलोनी बनाया जा रहा है. यह बहुत बड़ा षड्यंत्र है. आने वाले समय में एक बड़ा आंदोलन होगा. कुर्बानियां देनी होंगी,"Feb 12,2022, 20:41 PM IST",ZEE News,Kisaan Andolan,Anti BJP,Neutral,
500,केंद्रीय मंत्री चौधरी ने पहलवान द ग्रेट खली को भाजपा ज्वाइन करवा कर खेला बड़ा दांव,केंद्रीय मंत्री कैलाश चौधरी ने  पहलवान द ग्रेट खली को भाजपा ज्वाइन करवा कर एक बड़ा दांव खेला है. यह कैलाश चौधरी की बड़ी उपलब्धि कही जा सकती है. केंद्रीय कृषि राज्य मंत्री कैलाश चौधरी ने WWE रेसलर द ग्रेट खली उर्फ दलीप सिंह राणा को 5 राज्यों में होने वाले विधानसभा चुनाव से पहले बीजेपी में शामिल होने के लिए मनाया.,"Feb 10,2022, 22:02 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
501,"छत्तीसगढ़ में चल रहे किसान आंदोलन पर भाजपा ने कांग्रेस को घेरा, लगाए गंभीर आरोप",पिछले 25 दिन से जारी किसान आंदोलन पर भाजपा ने कांग्रेस सरकार पर करारा हमला किया है. भाजपा ने सरकार को अराजक और किसान विरोधी बताते हुए कहा है कि इतने लंबे समय से जारी किसान आंदोलन को ख़त्म करने के लिए सरकार की तरफ से कोई पहल नहीं की जा रही है.,"Jan 27,2022, 14:40 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
502,पश्चिमी उत्तर प्रदेश के जाट नेताओं को मनाने में जुटे अमित शाह; दिल्ली में बैठक,दिल्ली से भाजपा के सांसद प्रवेश साहिब सिंह वर्मा के आवास पर हुई इस बैठक को ‘‘सामाजिक भाईचारा बैठक’’ का नाम दिया गया. अमित शाह ने पिछले दिनों कैराना का दौरा कर यहां भाजपा के पक्ष में माहौल बनाने की कोशिश की थी.,"Jan 26,2022, 19:29 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
503,"विधान सभा चुनावों से पहले किसान संगठनों का बड़ा ऐलान, फिर से करेंगे विरोध प्रदर्शन",यूपी समेत पांच राज्यों के विधान सभा चुनावों से पहले किसान संगठनों ने बड़ा फैसला किया है. दिल्ली में आयोजित बैठक में किसानों ने फैसला लिया है कि किसान संगठन 31 जनवरी को केंद्र सरकार के खिलाफ विश्वासघात दिवस मनाएंगे.,"Jan 15,2022, 17:22 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Anti Kisan,
504,लखीमपुर खीरी हिंसा : SIT ने 12 किसानों को समन जारी किया,इस मामले में अब तक सात किसानों को गिरफ्तार किया जा चुका है और एसआईटी मामले में और संदिग्धों की तलाश कर रही है.,"Jan 6,2022, 10:43 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
505,"राकेश टिकैत ने सरकार को दी खुली धमकी, बोले- 26 जनवरी को फिर करेंगे ट्रैक्टर मार्च",किसान नेता राकेश टिकैत (राकेश टिकैत) ने सरकार को फिर धमकी दी है. टिकैट ने कहा है कि 26 जनवरी को किसान फिर देश के अलग-अलग जगहों पर ट्रैक्टर मार्च निकालेंगे. उन्होंने कहा कि अब हम लाल किला नहीं नए संसद भवन पहुचेंगे.,"Jan 2,2022, 18:32 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
506,तीनों कृषि कानून के दौरान शहीद हुए किसानों को 1 Jan को किया जाएगा सम्मानित,तीनों कृषि कानून को रद्द करवाने में सहभागिता दिखाने वाले और शहीद किसानों के परिजनों को सम्मानित करने के लिए किसान सभा हिसार में सम्मेलन करेगी. सभा के पदाधिकारियों ने इसकी तैयारियां शुरु कर दी हैं.,"Dec 30,2021, 14:33 PM IST",ZEE News,Kisaan Andolan,Anti BJP,Neutral,
507,पटेल को सरदार और गांधी को महात्मा बनाने वाला किसान 'आंदोलन' सियासत में कैसे उलझा,प्यासी जमीन पर टूटती सांसों के साथ आंखों में आंसू लिए आसमान को ताकते हुए कोई न कोई तस्वीर आपने जरूर देखी होगी. ठंड से ठिठुरते और चिलचिलाती धूप में जलते हुए पसीने से तरबरतर इंसान को बैल बनते हुए भी आपने जरूर देखा होगा.,"Dec 23,2021, 7:45 AM IST",ZEE News,Kisaan Andolan,Anti BJP,Pro Kisan,
